종목명,일자,종가,외인,연기금,투신,사모,거래량,거래대금(억)
LG에너지솔루션,20260421,478000.0,86320.108,37946.508,44299.606,12369.684,1363543.0,6517.73554
LG에너지솔루션,20260420,429000.0,44100.342,5598.879,10926.201,6098.664,563779.0,2418.61191
LG에너지솔루션,20260417,418000.0,-618.222,-377.036,1621.004,7612.198,336530.0,1406.6954
LG에너지솔루션,20260416,416000.0,15108.288,-398.112,12839.84,13785.408,317064.0,1318.98624
LG에너지솔루션,20260415,408000.0,15495.84,-4252.584,-2384.352,6169.776,272401.0,1111.39608
LG에너지솔루션,20260414,400000.0,-20268.8,-6361.2,1722.4,-4851.2,269254.0,1077.016
LG에너지솔루션,20260413,401500.0,-4326.564,435.226,-3821.8785,-2985.1525,218403.0,876.888045
LG에너지솔루션,20260410,412000.0,-8443.94,-6839.2,-2166.296,-3426.604,273394.0,1126.38328
LG에너지솔루션,20260409,421000.0,75611.6,9335.675,34785.546,11297.956,719468.0,3028.96028
LG에너지솔루션,20260408,406000.0,-32041.52,-18383.274,-2781.912,-15650.894,521932.0,2119.04392
LG에너지솔루션,20260407,408500.0,20029.9805,9113.2265,8987.4085,-3912.2045,311134.0,1270.98239
LG에너지솔루션,20260406,412500.0,17895.4875,6990.6375,18269.2125,16194.3375,393045.0,1621.310625
LG에너지솔루션,20260403,398500.0,-14536.0845,7828.5325,5142.6425,-11441.3335,254074.0,1012.48489
LG에너지솔루션,20260402,404500.0,23406.3925,35459.6835,14249.726,3687.8265,532803.0,2155.188135
LG에너지솔루션,20260401,407000.0,-7716.72,3899.467,9772.07,281.644,343583.0,1398.38281
LG에너지솔루션,20260331,394500.0,101.3865,9624.222,13801.5825,-4910.736,518297.0,2044.681665
LG에너지솔루션,20260330,410000.0,19454.5,57467.65,17955.13,13182.32,747897.0,3066.3777
두산에너빌리티,20260512,125600.0,36934.6896,9595.5888,431.3104,-350.2984,6170656.0,7750.343936
두산에너빌리티,20260511,128000.0,-18284.8,-6450.176,-14255.488,-3787.904,3619903.0,4633.47584
두산에너빌리티,20260508,129600.0,-254000.7072,-15920.8416,-21933.6336,-2885.9328,4535272.0,5877.712512
두산에너빌리티,20260507,136400.0,137049.4004,10016.1248,-2644.3868,1137.9852,7805577.0,10646.807028
두산에너빌리티,20260506,127000.0,32298.64,-7708.138,-18173.319,-12689.205,3905996.0,4960.61492
두산에너빌리티,20260504,127200.0,-21872.1672,6154.572,-18421.9944,-18040.2672,3214565.0,4088.92668
두산에너빌리티,20260430,127100.0,-7702.0058,8498.0331,7952.647,-35810.2979,3380571.0,4296.705741
두산에너빌리티,20260429,129200.0,30686.1628,-1733.218,7031.4516,35129.7384,3292329.0,4253.689068
두산에너빌리티,20260428,127800.0,21495.1932,-11675.5524,-4315.5504,-4453.0632,3191190.0,4078.34082
두산에너빌리티,20260427,128900.0,-46061.2549,4041.7884,-1192.8406,-6248.5564,3984476.0,5135.989564
두산에너빌리티,20260424,127100.0,93933.0008,4067.4542,2930.6718,-1898.6198,5682618.0,7222.607478
두산에너빌리티,20260423,122600.0,246545.9028,1060.2448,2653.677,-4978.9086,8119024.0,9953.923424
두산에너빌리티,20260422,115900.0,-31195.8758,2521.0568,8128.7624,-7702.4822,3779530.0,4380.47527
두산에너빌리티,20260421,115700.0,118629.524,4485.689,2324.6444,5232.1854,4773848.0,5523.342136
두산에너빌리티,20260420,111000.0,105483.744,-5272.944,5421.24,10945.932,5644556.0,6265.45716
두산에너빌리티,20260417,108500.0,-89965.162,-5061.4165,-3100.713,-357.833,3591052.0,3896.29142
두산에너빌리티,20260416,110800.0,317003.8968,7365.984,2903.1816,8769.5984,8123993.0,9001.384244
두산에너빌리티,20260415,104200.0,199500.799,9881.807,4747.1436,8207.4172,5470474.0,5700.233908
두산에너빌리티,20260414,99700.0,-1580.6438,-5894.6628,-874.2693,34.2968,1937143.0,1931.331571
두산에너빌리티,20260413,99300.0,14893.7091,7521.1806,3702.3012,-760.638,1746075.0,1733.852475
두산에너빌리티,20260410,100200.0,-50788.875,-944.2848,83159.2866,-1321.5378,2785465.0,2791.03593
두산에너빌리티,20260409,100000.0,52024.3,4231.5,-8371.8,-616.4,2195437.0,2195.437
두산에너빌리티,20260408,101200.0,116222.634,-4956.9784,-3190.5324,7627.1404,4010457.0,4058.582484
두산에너빌리티,20260407,94900.0,6937.4747,-3100.0034,-1428.9093,-2296.4851,2102382.0,1995.160518
두산에너빌리티,20260406,95700.0,-21289.7091,-2169.3276,-1723.4613,-518.4069,2040458.0,1952.718306
두산에너빌리티,20260403,96600.0,139.0074,-2832.8916,588.1008,2473.7328,2522536.0,2436.769776
두산에너빌리티,20260402,93600.0,-2918.5416,-1059.2712,-12115.3032,-7417.6128,5180190.0,4848.65784
두산에너빌리티,20260401,99600.0,54311.0832,655.7664,6332.568,8982.3264,3416180.0,3402.51528
두산에너빌리티,20260331,91800.0,-47740.131,6920.0676,1857.4812,-549.0558,4215936.0,3870.229248
두산에너빌리티,20260330,94200.0,-7335.0714,2655.6864,-4774.998,-2928.4896,2828606.0,2664.546852
HD현대중공업,20260512,707000.0,71383.669,-2697.912,10419.059,5830.629,892919.0,6312.93733
HD현대중공업,20260511,685000.0,26290.985,19383.445,9593.425,29598.165,573817.0,3930.64645
HD현대중공업,20260508,658000.0,-66844.246,-9960.804,291.494,-20453.272,620979.0,4086.04182
