종목명,종목코드,AI수급점수,매수후보,진입유형,스윙우선순위,기관동행점수,수급품질점수,주도주점수,수급흡수율,수급지속일수,종목체급,전략슬리브,거래대금활력,20일평균거래대금(억),진입코멘트,매도점검,테마,정배열,추세품질점수,MA5,MA10,MA20,순위,날짜
에스피지,58610.0,45.0,관찰,관찰,53.64,10.46,43.0,85.28,0.3853,2,중형,관찰,1.9,649.3,거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행,수급훼손,전기제품,True,100.0,135120.0,131460.0,125340.0,21,2026-05-14
에이치브이엠,295310.0,36.0,관찰,눌림목,53.52,13.29,55.47,58.42,0.7151,3,중형,수급스윙,1.66,234.2,거래대금 대비 수급 양호 · 기관 동행 · 20일선 부근 눌림,수급훼손,비철금속,True,100.0,97040.0,92370.0,91460.0,22,2026-05-14
파두,440110.0,44.0,관찰,과열주의,53.42,23.08,58.2,64.29,0.5563,4,대형,관찰,1.51,1068.6,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,반도체와반도체장비,True,100.0,98220.0,89460.0,77825.0,23,2026-05-14
기가비스,420770.0,43.0,관찰,과열주의,51.08,32.14,47.73,30.14,0.7928,4,중형,관찰,1.17,155.3,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,반도체와반도체장비,True,100.0,115440.0,110810.0,102110.0,24,2026-05-14
달바글로벌,483650.0,55.0,관찰,관찰,80.67,35.0,60.03,87.63,0.9357,4,중형,관찰,1.83,584.9,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행,보유/관찰,화장품,True,100.0,242500.0,230650.0,224210.0,1,2026-05-15
HL만도,204320.0,63.0,관찰,관찰,76.0,24.33,63.13,86.1,0.6842,5,중형,관찰,2.05,399.6,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행,보유/관찰,자동차부품,True,100.0,62040.0,59980.0,57300.0,2,2026-05-15
티엘비,356860.0,61.0,관찰,관찰,75.02,30.6,59.82,53.91,0.9263,5,중형,관찰,1.1,244.4,거래대금 대비 수급 양호 · 기관 동행,보유/관찰,PCB;반도체,True,100.0,102960.0,98640.0,90235.0,3,2026-05-15
한국콜마,161890.0,57.0,관찰,관찰,72.81,28.87,59.34,63.83,0.8446,4,중형,관찰,1.46,263.8,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행,보유/관찰,화장품,True,100.0,99060.0,94010.0,91085.0,4,2026-05-15
삼아알미늄,6110.0,60.0,관찰,과열주의,71.85,35.0,55.47,58.12,0.8578,4,중형,관찰,1.19,395.8,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,비철금속,True,100.0,84060.0,76510.0,70335.0,5,2026-05-15
한화생명,88350.0,43.0,신규후보,돌파,66.0,20.97,58.71,82.73,0.6194,4,중형,수급스윙,2.21,461.9,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 거래량 동반 돌파,보유/관찰,생명보험,True,100.0,5079.0,5029.5,4975.5,6,2026-05-15
로보티즈,108490.0,53.0,관찰,주도눌림,65.31,9.69,16.0,86.45,-0.0582,2,대형,주도대형,1.45,1468.0,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,휴머노이드;로봇,True,100.0,349500.0,332400.0,314000.0,7,2026-05-15
해성디에스,195870.0,45.0,관찰,과열주의,64.15,33.15,51.19,74.18,0.3885,5,중형,관찰,0.91,305.4,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,리드프레임;반도체,True,100.0,85880.0,84060.0,77270.0,8,2026-05-15
현대제철,4020.0,44.0,신규후보,돌파,64.09,17.51,59.68,85.57,0.8736,4,중형,수급스윙,1.44,668.0,거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 거래량 동반 돌파,수급훼손,철강,True,100.0,44320.0,43465.0,42480.0,9,2026-05-15
현대글로비스,86280.0,33.0,관찰,주도눌림,64.07,21.49,16.0,88.52,-0.2788,2,대형,주도대형,2.13,1192.9,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,항공화물운송과물류,True,100.0,261100.0,245950.0,238300.0,10,2026-05-15
심텍,222800.0,63.0,관찰,관찰,64.01,10.73,14.27,83.41,0.0274,2,중형,관찰,0.97,783.6,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행,보유/관찰,PCB;반도체,True,100.0,109980.0,104120.0,93660.0,11,2026-05-15
제주반도체,80220.0,64.0,관찰,과열주의,62.36,20.25,38.82,62.68,0.1421,5,대형,관찰,1.43,3101.8,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,반도체;팹리스,True,100.0,65620.0,60550.0,54782.5,12,2026-05-15
LG씨엔에스,64400.0,56.0,관찰,과열주의,61.02,26.31,41.25,51.11,0.3593,2,대형,관찰,2.98,1261.3,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,IT서비스,True,100.0,77940.0,72630.0,69785.0,13,2026-05-15
테스,95610.0,53.0,관찰,과열주의,60.15,26.15,64.86,57.42,1.9493,5,중형,관찰,1.9,379.9,거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,반도체장비;반도체,True,100.0,115660.0,102080.0,95590.0,14,2026-05-15
피에스케이,319660.0,38.0,관찰,눌림목,59.95,15.2,33.34,81.17,0.1766,3,중형,수급스윙,1.28,339.1,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 20일선 부근 눌림,보유/관찰,반도체와반도체장비,True,100.0,108180.0,104470.0,96510.0,15,2026-05-15
에이치브이엠,295310.0,41.0,관찰,돌파,57.75,17.03,55.4,59.31,0.8546,3,중형,수급스윙,1.81,251.9,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 거래량 동반 돌파,보유/관찰,비철금속,True,100.0,98640.0,93190.0,91870.0,16,2026-05-15
기가비스,420770.0,44.0,관찰,과열주의,56.68,35.0,55.89,46.3,0.927,5,중형,관찰,1.26,156.6,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,반도체와반도체장비,True,100.0,118880.0,111880.0,103760.0,17,2026-05-15
롯데쇼핑,23530.0,37.0,관찰,과열주의,54.88,35.0,64.79,35.41,1.6721,5,중형,관찰,1.49,250.0,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 기관 동행 · 이격/RSI 과열,익절/추격주의,백화점과일반상점,True,100.0,160460.0,148210.0,136850.0,18,2026-05-15
현대차2우B,5387.0,38.0,관찰,관찰,54.74,15.36,56.5,91.52,0.4808,4,중형,관찰,1.5,688.8,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행,보유/관찰,자동차,True,100.0,277300.0,266250.0,259525.0,19,2026-05-15
한화,880.0,43.0,관찰,관찰,54.71,12.46,52.2,88.61,0.3439,5,중형,관찰,1.49,415.7,거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행,수급훼손,복합기업,True,100.0,141520.0,140230.0,135420.0,20,2026-05-15
현대오토에버,307950.0,47.0,관찰,과열주의,54.5,22.02,34.82,65.77,0.1421,4,대형,관찰,2.31,1828.8,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 이격/RSI 과열,익절/추격주의,IT서비스,True,100.0,657200.0,567100.0,505625.0,21,2026-05-15
주성엔지니어링,36930.0,47.0,관찰,주도돌파,53.0,1.75,4.0,82.8,-0.3776,1,대형,주도대형,0.84,3265.4,대형 주도주 조건 · 대형 주도주 돌파,수급훼손,반도체와반도체장비,True,100.0,159200.0,145020.0,127310.0,22,2026-05-15
