거래ID,진입일,종목명,종목코드,진입순위,AI수급점수,진입유형,스윙우선순위,추천소스,진입코멘트,보유일수,청산방식,청산사유,진입가,청산일,청산가,수익률,상태
20251208_삼성물산_D10,2025-12-08,삼성물산,28260.0,3,9.0,주도돌파,42.01,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,10,D+10,D+10,251500.0,2025-12-22,244500.0,-2.7833,closed
20251208_삼성전자우_D5,2025-12-08,삼성전자우,5935.0,1,25.0,주도눌림,60.79,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,80500.0,2025-12-15,81000.0,0.6211,closed
20251208_SK_D5,2025-12-08,SK,34730.0,2,19.0,주도눌림,46.42,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,268500.0,2025-12-15,259000.0,-3.5382,closed
20251208_삼성물산_D5,2025-12-08,삼성물산,28260.0,3,9.0,주도돌파,42.01,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,5,D+5,D+5,251500.0,2025-12-15,246500.0,-1.9881,closed
20251208_삼성전자우_SIGNAL,2025-12-08,삼성전자우,5935.0,1,25.0,주도눌림,60.79,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,6,시그널,스윙약화,80500.0,2025-12-16,79800.0,-0.8696,closed
20251208_SK_SIGNAL,2025-12-08,SK,34730.0,2,19.0,주도눌림,46.42,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,6,시그널,손절,268500.0,2025-12-16,254000.0,-5.4004,closed
20251208_삼성물산_SIGNAL,2025-12-08,삼성물산,28260.0,3,9.0,주도돌파,42.01,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,8,시그널,손절,251500.0,2025-12-18,239500.0,-4.7714,closed
20251209_SK_D10,2025-12-09,SK,34730.0,1,21.0,주도눌림,48.89,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,272000.0,2025-12-23,248500.0,-8.6397,closed
20251209_SK_D5,2025-12-09,SK,34730.0,1,21.0,주도눌림,48.89,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,272000.0,2025-12-16,254000.0,-6.6176,closed
20251209_SK_SIGNAL,2025-12-09,SK,34730.0,1,21.0,주도눌림,48.89,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,4,시그널,손절,272000.0,2025-12-15,259000.0,-4.7794,closed
