종목명,일자,종가,외인,연기금,투신,사모
삼성바이오로직스,20260225,1728000.0,-2229.0,-1078.0,-3885.0,299.0
삼성바이오로직스,20260224,1723000.0,-17252.0,1155.0,-480.0,40.0
한화에어로스페이스,20260324,1335000.0,1759.0,3431.0,6785.0,3009.0
한화에어로스페이스,20260323,1278000.0,13464.0,-6258.0,-5567.0,179.0
한화에어로스페이스,20260320,1320000.0,-10825.0,-9225.0,-5766.0,-7078.0
한화에어로스페이스,20260319,1375000.0,-16159.0,3706.0,-2222.0,-1132.0
한화에어로스페이스,20260318,1390000.0,11139.0,-11913.0,-4614.0,-2730.0
한화에어로스페이스,20260317,1396000.0,-73282.0,-12336.0,-24202.0,-3303.0
한화에어로스페이스,20260316,1476000.0,-14888.0,7951.0,2379.0,1396.0
한화에어로스페이스,20260313,1488000.0,60080.0,2177.0,53852.0,1635.0
한화에어로스페이스,20260312,1465000.0,96153.0,-3212.0,5117.0,3098.0
한화에어로스페이스,20260311,1410000.0,41843.0,-4547.0,-14143.0,939.0
한화에어로스페이스,20260310,1455000.0,117578.0,-7016.0,-3985.0,3918.0
한화에어로스페이스,20260309,1434000.0,-91087.0,13353.0,13557.0,889.0
한화에어로스페이스,20260306,1481000.0,190138.0,10664.0,10625.0,-7680.0
한화에어로스페이스,20260305,1381000.0,-19797.0,4098.0,-5243.0,-11318.0
한화에어로스페이스,20260304,1323000.0,-61192.0,2736.0,-2312.0,-8653.0
한화에어로스페이스,20260303,1432000.0,-98520.0,20079.0,25180.0,33968.0
한화에어로스페이스,20260227,1195000.0,53260.0,9762.0,1021.0,4851.0
한화에어로스페이스,20260226,1194000.0,-22972.0,-6489.0,-8857.0,-2953.0
한화에어로스페이스,20260225,1212000.0,-68543.0,-5932.0,-9121.0,-2254.0
한화에어로스페이스,20260224,1241000.0,-21291.0,3090.0,-1924.0,689.0
두산에너빌리티,20260324,100100.0,-89913.0,-7240.0,-3245.0,-16676.0
두산에너빌리티,20260323,100700.0,-182880.0,-11424.0,-5286.0,-14759.0
두산에너빌리티,20260320,109600.0,157268.0,11365.0,5997.0,10222.0
두산에너빌리티,20260319,106300.0,33560.0,3095.0,1496.0,120.0
두산에너빌리티,20260318,107300.0,129445.0,947.0,-2438.0,3024.0
두산에너빌리티,20260317,104400.0,-40614.0,1938.0,-3007.0,-5619.0
두산에너빌리티,20260316,105700.0,-44494.0,9344.0,7238.0,-2779.0
두산에너빌리티,20260313,106500.0,87835.0,3639.0,168939.0,15694.0
두산에너빌리티,20260312,103500.0,79934.0,7066.0,8716.0,8880.0
두산에너빌리티,20260311,101000.0,-8843.0,58.0,-99.0,-6809.0
두산에너빌리티,20260310,102500.0,311637.0,19955.0,12011.0,15782.0
두산에너빌리티,20260309,96200.0,-184094.0,1168.0,4528.0,12296.0
두산에너빌리티,20260306,98000.0,18213.0,-666.0,6462.0,9594.0
두산에너빌리티,20260305,90500.0,-67801.0,3284.0,-1163.0,736.0
두산에너빌리티,20260304,80600.0,12881.0,-7253.0,117.0,5254.0
두산에너빌리티,20260303,96900.0,-59626.0,-2338.0,-1763.0,-6580.0
두산에너빌리티,20260227,106300.0,91680.0,-5820.0,-620.0,7250.0
두산에너빌리티,20260226,103800.0,23568.0,-12048.0,-6432.0,-3024.0
두산에너빌리티,20260225,103200.0,55037.0,6424.0,3866.0,3135.0
두산에너빌리티,20260224,101300.0,-42651.0,-11611.0,-5551.0,-791.0
기아,20260324,157900.0,-60371.0,-15145.0,4208.0,-7713.0
기아,20260323,161700.0,-50349.0,34028.0,570.0,-1563.0
기아,20260320,168500.0,-115099.0,1830.0,-279.0,-24952.0
기아,20260319,170500.0,-68380.0,13686.0,-3042.0,-776.0
기아,20260318,175100.0,-43480.0,17037.0,2251.0,-437.0
기아,20260317,167300.0,-55380.0,15970.0,167.0,-840.0
기아,20260316,162000.0,-69386.0,7188.0,-599.0,-1454.0
기아,20260313,164300.0,-67003.0,5674.0,46238.0,-922.0
기아,20260312,167000.0,-63772.0,10732.0,-982.0,-137.0
기아,20260311,162000.0,-51353.0,2758.0,218.0,-248.0
기아,20260310,161000.0,-71313.0,6482.0,1601.0,12692.0
기아,20260309,153400.0,-10407.0,-6810.0,-4673.0,-12999.0
기아,20260306,167000.0,-32837.0,14387.0,2354.0,-2305.0
기아,20260305,166400.0,-73799.0,2302.0,-12409.0,-14445.0
기아,20260304,156700.0,50889.0,457.0,-4031.0,-16499.0
기아,20260303,182300.0,-135091.0,-2612.0,4511.0,1589.0
기아,20260227,205500.0,-135207.0,21371.0,4557.0,68.0
기아,20260226,206000.0,-1446.0,23976.0,11799.0,3809.0
기아,20260225,196100.0,61136.0,6431.0,16290.0,3763.0
기아,20260224,174000.0,-4339.0,-12002.0,4803.0,-3731.0
KB금융,20260324,146900.0,-37583.0,1016.0,-3175.0,-377.0
KB금융,20260323,145300.0,-18506.0,1203.0,4274.0,-2100.0
KB금융,20260320,155200.0,-34318.0,2723.0,2669.0,-374.0
KB금융,20260319,155700.0,22567.0,61.0,-1336.0,-3484.0
KB금융,20260318,154700.0,-53981.0,-2466.0,714.0,-58.0
KB금융,20260317,150700.0,-27675.0,2105.0,290.0,18.0
KB금융,20260316,149300.0,10864.0,2121.0,-2668.0,-1497.0
KB금융,20260313,148900.0,-21805.0,-2024.0,38153.0,-693.0
KB금융,20260312,149200.0,-13713.0,1047.0,-490.0,-182.0
KB금융,20260311,151300.0,-9504.0,-2031.0,2443.0,620.0
KB금융,20260310,147400.0,-5653.0,3303.0,-1280.0,-1635.0
KB금융,20260309,142600.0,-3021.0,541.0,1112.0,497.0
KB금융,20260306,147400.0,-5120.0,-456.0,465.0,224.0
KB금융,20260305,149000.0,19816.0,913.0,609.0,2987.0
KB금융,20260304,137700.0,-6916.0,-3088.0,1586.0,11421.0
KB금융,20260303,153500.0,-32.0,-2652.0,-225.0,-2129.0
KB금융,20260227,159000.0,-58938.0,-5950.0,-4903.0,-2830.0
KB금융,20260226,165300.0,-30041.0,-8635.0,-6350.0,-2097.0
KB금융,20260225,167700.0,-9820.0,-10775.0,-4337.0,-4074.0
KB금융,20260224,166700.0,-50273.0,-10157.0,-9704.0,-6499.0
HD현대중공업,20260324,516000.0,-8208.0,-6872.0,-5047.0,-3407.0
HD현대중공업,20260323,502000.0,-58059.0,-2642.0,406.0,-1613.0
HD현대중공업,20260320,559000.0,9596.0,-7189.0,-1970.0,-2732.0
HD현대중공업,20260319,567000.0,7013.0,12.0,-3573.0,-3135.0
HD현대중공업,20260318,590000.0,20974.0,-7852.0,-4150.0,-3284.0
HD현대중공업,20260317,587000.0,17297.0,-1658.0,-1712.0,-356.0
HD현대중공업,20260316,583000.0,-1453.0,3123.0,2943.0,1499.0
HD현대중공업,20260313,596000.0,10737.0,2055.0,-978.0,-4104.0
HD현대중공업,20260312,604000.0,8674.0,12017.0,7051.0,2092.0
HD현대중공업,20260311,590000.0,1238.0,9909.0,-386.0,1757.0
HD현대중공업,20260310,583000.0,1406.0,10147.0,-4636.0,6510.0
HD현대중공업,20260309,576000.0,29268.0,2949.0,10508.0,6174.0
HD현대중공업,20260306,554000.0,7623.0,-1189.0,-1823.0,1008.0
HD현대중공업,20260305,559000.0,11902.0,2953.0,-917.0,860.0
HD현대중공업,20260304,511000.0,54753.0,-6790.0,-6005.0,-5001.0
HD현대중공업,20260303,590000.0,42849.0,1020.0,2691.0,9203.0
HD현대중공업,20260227,603000.0,80899.0,-7239.0,2372.0,1821.0
HD현대중공업,20260226,592000.0,36212.0,-14176.0,-1716.0,-3279.0
HD현대중공업,20260225,594000.0,5530.0,-1856.0,-9140.0,-2208.0
HD현대중공업,20260224,596000.0,797.0,-14939.0,-2213.0,-3622.0
삼성물산,20260324,281500.0,-7729.0,-2857.0,1611.0,-815.0
삼성물산,20260323,274500.0,5576.0,-4373.0,-4374.0,-1196.0
삼성물산,20260320,297500.0,-46527.0,12728.0,10065.0,410.0
삼성물산,20260319,291000.0,-8962.0,1483.0,3397.0,-753.0
삼성물산,20260318,299000.0,-24642.0,13380.0,3972.0,6526.0
삼성물산,20260317,279500.0,-14936.0,-1588.0,426.0,2544.0
삼성물산,20260316,278500.0,-12519.0,1719.0,-150.0,-43.0
삼성물산,20260313,280500.0,10803.0,-4427.0,6876.0,-472.0
삼성물산,20260312,280500.0,-3058.0,4701.0,4572.0,-443.0
삼성물산,20260311,283500.0,6073.0,599.0,687.0,1262.0
삼성물산,20260310,273000.0,-27231.0,-925.0,-1365.0,-306.0
삼성물산,20260309,270500.0,19688.0,-6827.0,-565.0,-1349.0
삼성물산,20260306,283500.0,5406.0,-23688.0,-4390.0,-2099.0
삼성물산,20260305,293000.0,7770.0,-2425.0,-2652.0,735.0
삼성물산,20260304,272000.0,39991.0,-16771.0,-4853.0,-5881.0
삼성물산,20260303,317000.0,696.0,-2628.0,-91.0,-464.0
삼성물산,20260227,350500.0,-6250.0,-4387.0,1177.0,-4939.0
삼성물산,20260226,360000.0,-16623.0,12827.0,4854.0,3154.0
삼성물산,20260225,347000.0,5643.0,-1586.0,3617.0,-1265.0
삼성물산,20260224,338000.0,-3977.0,-3262.0,875.0,1653.0
셀트리온,20260324,199600.0,1371.0,4485.0,1016.0,3807.0
셀트리온,20260323,188300.0,-1373.0,-472.0,-2278.0,-3202.0
셀트리온,20260320,202000.0,-3954.0,149.0,-1170.0,-2042.0
셀트리온,20260319,202000.0,-5175.0,-562.0,-516.0,1865.0
셀트리온,20260318,209500.0,-7381.0,-179.0,-799.0,425.0
셀트리온,20260317,206000.0,13837.0,2313.0,-70.0,551.0
셀트리온,20260316,200000.0,3264.0,-13978.0,-1399.0,-2575.0
셀트리온,20260313,205500.0,-16892.0,353.0,36127.0,-241.0
셀트리온,20260312,206000.0,5152.0,672.0,-9505.0,-4702.0
셀트리온,20260311,209000.0,-817.0,-1198.0,4011.0,3469.0
셀트리온,20260310,206000.0,-20209.0,-8277.0,-1993.0,444.0
셀트리온,20260309,204000.0,36965.0,-9514.0,-3301.0,-164.0
셀트리온,20260306,212500.0,-3408.0,2936.0,-3436.0,554.0
셀트리온,20260305,211500.0,27248.0,-5129.0,-2892.0,-1975.0
셀트리온,20260304,197400.0,90080.0,-2380.0,-1774.0,2666.0
셀트리온,20260303,225000.0,79534.0,1635.0,-1833.0,255.0
셀트리온,20260227,238500.0,33000.0,1510.0,-510.0,641.0
셀트리온,20260226,242000.0,44602.0,-5384.0,-839.0,-452.0
셀트리온,20260225,244500.0,-3444.0,-3251.0,295.0,-3635.0
셀트리온,20260224,248500.0,13172.0,7083.0,1947.0,2464.0
삼성생명,20260324,222000.0,13277.0,-8770.0,-2470.0,477.0
삼성생명,20260323,217500.0,20875.0,-1647.0,-2476.0,-674.0
삼성생명,20260320,231500.0,28174.0,-8625.0,-391.0,-3207.0
삼성생명,20260319,230500.0,-3686.0,3355.0,5499.0,1029.0
삼성생명,20260318,235000.0,2000.0,9551.0,-1358.0,3740.0
삼성생명,20260317,217000.0,286.0,1590.0,-2609.0,471.0
삼성생명,20260316,212000.0,-403.0,-298.0,128.0,-438.0
삼성생명,20260313,216000.0,13492.0,-3941.0,640.0,550.0
삼성생명,20260312,218500.0,7867.0,-3829.0,-7639.0,-242.0
삼성생명,20260311,226500.0,-9340.0,12798.0,3569.0,2217.0
삼성생명,20260310,211500.0,-6903.0,215.0,-63.0,1571.0
삼성생명,20260309,200500.0,22961.0,-2811.0,-1029.0,-304.0
삼성생명,20260306,210000.0,10720.0,-4618.0,-4384.0,-1149.0
삼성생명,20260305,214000.0,22837.0,-546.0,-7187.0,253.0
삼성생명,20260304,197500.0,44283.0,-6643.0,-10481.0,-60.0
삼성생명,20260303,221500.0,41869.0,-5296.0,-6867.0,-1285.0
삼성생명,20260227,230000.0,-19990.0,-5031.0,2060.0,-1692.0
