종목명,종목코드,소속,섹터,테마,AI수급점수,Quant점수,정성점수,정성보정치,점수모드,현재가,등락률,외인강도(%),연기금강도(%),투신강도(%),사모강도(%),외인연속,연기금연속,이격도(%),손바뀜(%),RSI,거래급증(%),추세상승,음봉매집률,시가총액,PER,ROE
시프트업,462870,KOSPI,게임엔터테인먼트,게임엔터테인먼트,37,35,55.69,2.27,상승장 (보수적 반영),34750,0.0,-0.3019368241585713,-0.0019168212147973702,-0.004415947895201648,0.14079042537533118,0,0,104.4,0.7,64.4,204.7,True,0.0,20382,10.66,22.71
롯데에너지머티리얼즈,020150,KOSPI,전자장비와기기,전자장비와기기,37,39,44.09,-2.37,상승장 (보수적 반영),68100,7.41,0.3580089509548246,0.9707452413000197,0.17562146041894508,0.2893636143125543,1,4,139.1,6.3,82.4,109.7,True,0.0,35661,-22.22,-10.54
필옵틱스,161580,KOSDAQ,전자장비와기기,전자장비와기기,37,41,40.69,-3.73,상승장 (보수적 반영),48400,0.41,-0.4719048695575533,-0.04464619249074564,0.8548536180151596,-0.00817613696456901,0,0,115.9,11.3,64.9,42.9,True,0.0,11346,-65.76,-14.67
롯데정밀화학,004000,KOSPI,화학,화학,36,35,53.09,1.23,상승장 (보수적 반영),61500,10.22,0.8391640385706183,0.2110740057981975,-0.10736978004663768,-0.018175193798449615,18,3,118.6,2.6,77.9,534.1,True,0.0,15867,14.96,4.42
올릭스,226950,KOSDAQ,생명과학도구및서비스,생명과학도구및서비스,36,39,42.89,-2.85,상승장 (보수적 반영),182300,5.38,-0.6524262105490705,-0.050383619757890186,0.2431472924773022,-0.8789434149373108,3,2,106.7,6.4,50.6,178.6,False,0.0,37008,-235.53,-18.83
DL,000210,KOSPI,화학,화학,36,38,45.49,-1.81,상승장 (보수적 반영),68600,3.63,1.1789981983861992,0.0046439691151919866,0.521284877573734,-0.06842257929883139,0,6,107.3,3.2,60.0,195.6,True,0.0,14376,-17.65,-2.17
파마리서치,214450,KOSDAQ,건강관리장비와용품,건강관리장비와용품,36,35,52.69,1.07,상승장 (보수적 반영),323000,4.19,-0.1443409815548735,-0.3070006555618463,0.06804073422926785,0.0564478828332191,0,0,107.3,3.5,60.2,242.7,True,0.0,33559,22.73,26.88
비에이치아이,083650,KOSDAQ,에너지장비및서비스,에너지장비및서비스,36,35,52.69,1.07,상승장 (보수적 반영),98300,-3.06,-0.5031907456111513,-0.5043560950752843,-1.4473105365244263,-0.08664544348740877,0,0,103.6,8.5,52.3,212.7,True,0.0,30418,46.65,44.36
한미반도체,042700,KOSPI,반도체와반도체장비,반도체와반도체장비,36,32,60.71,4.29,상승장 (보수적 반영),295500,0.68,-0.7366218311509402,0.08813631376753962,0.27168510161620174,-0.15479112402715445,1,4,106.3,3.2,62.6,98.2,True,0.0,281648,132.33,34.76
NC,036570,KOSPI,게임엔터테인먼트,게임엔터테인먼트,36,34,54.69,1.87,상승장 (보수적 반영),270500,-0.18,-0.8796643272646155,1.3878593784855089,0.39204278703433604,0.22806460524735314,0,12,112.2,3.1,68.7,67.9,True,0.2279,58277,16.88,10.79
한화오션,042660,KOSPI,조선,조선,36,32,60.71,4.29,상승장 (보수적 반영),134900,0.37,0.08816943694478314,0.05570287914416768,0.0218830212506532,0.034735599924519536,1,4,106.8,3.1,62.7,78.2,True,0.0,413352,33.18,22.59
NHN KCP,060250,KOSDAQ,IT서비스,IT서비스,35,33,54.49,1.79,상승장 (보수적 반영),20050,-1.72,1.2691873894684549,0.5109964766517636,0.0981951390958768,-0.009821460506706408,9,0,112.3,7.1,64.9,62.7,True,0.0,8052,17.77,16.35
효성,004800,KOSPI,복합기업,복합기업,35,33,54.69,1.87,상승장 (보수적 반영),171000,4.33,0.5713268287570741,-0.4682638126178998,0.0027271780898483894,0.10953813316565361,17,0,114.3,1.2,75.8,161.8,True,0.0,28626,8.68,14.35
삼성중공업,010140,KOSPI,조선,조선,35,32,58.31,3.33,상승장 (보수적 반영),34400,1.18,-0.40616895926929175,0.24171164045983087,-0.009204297535676533,-0.036801665400369984,0,5,120.7,6.5,83.2,107.1,True,0.1943,302720,55.48,13.74
